criminal_id,name,alias,age,gender,district_id,aadhaar_hash,status,created_at
1,Veer Randhawa,,29,Male,22,d64b8ad7b42f009f,convicted,2024-05-04
2,Victor Acharya,,23,Male,8,988e660c252ed6eb,convicted,2023-10-25
3,Irya Gera,,49,Female,19,8895d9e43ae339da,absconding,2025-12-12
4,Mitesh Buch,Qasim,23,Male,22,900906e1a1e69d25,absconding,2024-03-02
5,Harsh Sarkar,,24,Male,8,8efee2554a20c004,absconding,2024-11-14
6,Jason Dube,,31,Male,14,e427d4656750140b,arrested,2026-04-26
7,Aarnav Sood,,32,Male,5,ef3e16fb5881cd5c,absconding,2024-01-09
8,Orinder Chaudhry,,34,Male,13,acce6c4cef305e2b,absconding,2024-03-06
9,Shravya Kala,Urmi,33,Female,6,abc64e4113db3b22,absconding,2024-06-21
10,Vincent Kibe,Gopal,51,Male,1,4775d2322b4118df,acquitted,2025-11-25
11,Devansh Nadkarni,,32,Male,31,2325484f8b622592,absconding,2025-09-22
12,Sudiksha Narain,,52,Female,27,67d11f56de985ebc,acquitted,2025-01-17
13,Simon Ramesh,,47,Male,5,0a373e1044a712b0,absconding,2025-10-12
14,Oscar Suresh,,32,Male,7,a9409979cab4b227,acquitted,2025-01-20
15,Janya Gokhale,,19,Female,27,9196cc9bd49c3a5a,acquitted,2026-05-08
16,Qarin Pathak,Harini,48,Male,12,4dd9bd3149ecb929,convicted,2024-08-22
17,Sneha Brahmbhatt,,47,Female,14,c2071f9906962a98,convicted,2024-04-21
18,Ekapad Tata,Raghav,47,Male,20,47119ff8f9960747,acquitted,2024-03-05
19,Jagvi Mittal,,33,Female,23,c4ffd8d32f7cd130,acquitted,2024-08-21
20,Chakradhar Nori,,51,Male,13,107c60fee43df9f5,on_bail,2023-12-25
21,Hemangini Sandal,Matthew,32,Female,1,f02cb39bed6f3081,absconding,2023-12-15
22,Nimrat Ram,Vasana,34,Female,8,ee0fc383737a740a,on_bail,2024-11-11
23,Leena Sama,Praneel,25,Female,28,97251a39b9ebd55b,acquitted,2025-05-13
24,Sneha Varughese,,28,Female,26,fdd05f60b83354ef,arrested,2025-10-17
25,Vidhi Butala,,29,Female,27,73bdeab66a8ea326,on_bail,2024-05-11
26,Daksha Ravel,Advik,22,Female,3,83717c42f21309ea,absconding,2024-11-23
27,Nathaniel Dave,Yashica,24,Male,23,42db4d65e8b01c5c,convicted,2026-02-06
28,Utkarsh Apte,Vedika,60,Male,15,e1a7356e2ce4f56c,convicted,2025-08-08
29,Udyati Bhagat,,39,Female,12,8178804263218963,acquitted,2024-01-11
30,Unnati Kuruvilla,,43,Female,2,fa55cb70c439eaa2,absconding,2024-10-20
31,Varenya Thakkar,Kashish,39,Female,11,1495398ed4ac085e,on_bail,2024-12-20
32,Oviya Warrior,Janya,39,Female,9,1b54ec5043d805d8,arrested,2023-09-20
33,Gaurav Samra,Leela,45,Male,11,8f03f71e22a102eb,acquitted,2025-09-27
34,Falguni Amble,,35,Female,28,91540e19beef5b1b,convicted,2024-11-25
35,Kai Hora,Yutika,25,Male,8,d5fec28d56c21d29,absconding,2023-12-30
36,Teerth Bava,Ucchal,27,Male,19,2f2a76c095a23dec,absconding,2024-08-31
37,Anusha Dara,,36,Female,23,ef3579c009b1228f,convicted,2024-09-28
38,Victor Peri,,53,Male,4,51fb2d1473fb53c5,absconding,2024-02-10
39,Reva Krishnan,Pavani,22,Female,9,5fe199d751f320a0,convicted,2025-07-25
40,Manbir Bajwa,Amara,19,Male,23,aa50f2804f6ee2fd,convicted,2026-03-28
41,Nandini Parikh,Omisha,39,Female,8,381b6d90e23baa4d,absconding,2024-09-09
42,Vansha Nair,,54,Female,27,933c9ca73624a23b,arrested,2025-09-13
43,Andrew Choudhury,,45,Male,29,26d3d96746b685df,absconding,2023-12-27
44,Andrew Wali,,59,Male,24,35e62036f953959e,on_bail,2024-03-06
45,Kritika Gill,,38,Female,26,aa9c87fc2efce55f,arrested,2025-08-13
46,Charvi Date,Maanav,47,Female,27,bc3e43dc539bf5fd,absconding,2024-09-09
47,Tanveer Maharaj,,59,Male,10,ecec379ca57ca5c5,on_bail,2024-01-22
48,Vasudha Kohli,Tara,55,Female,30,791f1709a37cdb2a,absconding,2024-03-18
49,Brinda Narain,,39,Female,29,491eaa01b43a837f,acquitted,2024-07-15
50,Anirudh Din,,35,Male,31,ba4bb0f44612e3b0,arrested,2025-06-12
51,Sai Vala,Farhan,25,Female,28,a032757e32603316,arrested,2025-11-01
52,Matthew Sami,,44,Male,28,5a6bd4de08ac8a51,acquitted,2025-04-29
53,Alka Gour,,33,Female,23,8d75c39f16d1c993,arrested,2025-08-06
54,Chaaya Sant,,40,Female,22,5dc09ac6bce1404c,on_bail,2026-01-09
55,Inaya Lal,Chavvi,53,Female,17,90b9f882f5781101,acquitted,2024-02-24
56,Aryan Prasad,Urvashi,49,Male,29,960deb97eb16e825,convicted,2025-01-07
57,Tejas Maharaj,Quincy,37,Male,27,3e67f8ad8ef512ac,arrested,2023-10-12
58,Yamini Bath,Mohini,50,Female,23,8b2f2baffa22c497,acquitted,2024-10-31
59,Meghana Mahajan,,25,Female,30,d14422da67a7a8f4,convicted,2024-05-04
60,Tanvi Johal,,36,Female,26,63f6a64573e43111,on_bail,2025-05-12
61,Sarthak Dayal,Anvi,28,Male,4,f1ce52dcb581bcad,acquitted,2025-08-21
62,Vihaan Nadkarni,Gunbir,35,Male,26,93aa58431341941b,convicted,2025-02-27
63,Jeevika Badami,,41,Female,2,7a4f8025ea6f6ba6,on_bail,2023-10-06
64,Janya Bhatt,,43,Female,21,16f2160b49fbdbd2,acquitted,2024-09-14
65,Veda Salvi,,31,Female,29,4b71c54d456e8547,arrested,2024-12-04
66,Robert Soni,,32,Male,19,25dee92ae5153da5,absconding,2023-12-08
67,Onveer Oak,,59,Male,8,e68537da167507b2,acquitted,2024-12-30
68,Oscar Saxena,,30,Male,19,bc716cea2d208a7a,acquitted,2024-11-05
69,Vihaan Tara,Shivansh,28,Male,9,5efb777ee5535f9c,absconding,2024-06-03
70,Robert Kumer,Neha,45,Male,5,9e2d8248ee5bfeb3,on_bail,2025-02-11
71,Balveer Sur,Hemani,52,Male,8,c07c7beb32df1cea,convicted,2024-07-01
72,Hemang Wagle,,21,Male,26,689d1d6369ce1eae,absconding,2024-11-03
73,Nidra Manne,,24,Female,28,319468ef051c73f0,arrested,2023-09-23
74,Varsha Sibal,Ayushman,21,Female,6,9a0ad329aa44e4eb,convicted,2024-09-16
75,Geetika Pandey,Raagini,20,Female,1,63c830257e5b4527,on_bail,2024-04-13
76,Advay Mander,,37,Male,27,af532b8447c01cc6,absconding,2025-07-16
77,Kamya Prashad,Karan,33,Female,17,db0d33089a5e4a57,on_bail,2026-04-09
78,David Chatterjee,Meghana,50,Male,29,72569eb88ca0fd25,acquitted,2025-07-10
79,Jagvi Choudhry,Bimala,22,Female,3,5220f8bffd2c19d4,convicted,2025-09-28
80,Fariq Rattan,,51,Male,16,e0122a4ee448a918,on_bail,2025-05-17
81,Qushi Kalla,Omya,32,Female,11,61209d5b1d005e7c,arrested,2025-03-09
82,Odika Patil,Hitesh,60,Female,10,26fdc7e6fa034e96,absconding,2024-02-03
83,Zayan Wason,,27,Male,2,f2d991cd7bbbf648,absconding,2024-12-22
84,Isaiah Raval,Warda,24,Male,7,86facd5d84b062eb,absconding,2023-12-24
85,Luke Sengupta,Naksh,54,Male,9,f0bfe61716c4e6c8,absconding,2025-09-04
